postal_code,bfs_number,municipality,tax_rate_2025
7450,740,Albula/Alvra,100.0
7440,504,Andeer,90.0
7050,507,Arosa,90.0
7447,511,Avers,110.0
7477,745,Bergün Filisur,100.0
7502,513,Bever,70.0
7402,515,Bonaduz,84.0
7606,509,Bregaglia,90.0
7165,518,Breil/Brigels,90.0
7743,520,Brusio,85.0
6542,521,Buseno,100.0
6543,741,Calanca/Arvigo,100.0
6557,523,Cama,73.0
6540,526,Castaneda,90.0
7408,532,Cazis,115.0
7505,658,Celerina,50.0
7001,533,Chur,88.0
7075,534,Churwalden,90.0
7241,536,Conters i.P.,60.0
7270,539,Davos Platz/Dischma/Clavadel,95.0
7180,540,Disentis/Mustér,99.0
7013,541,Domat/Ems,85.0
7418,742,Domleschg,110.0
7153,546,Falera,65.0
7012,547,Felsberg,100.0
7444,525,Ferrera,70.0
7235,548,Fideris,100.0
7426,551,Flerden,120.0
7017,552,Flims,60.0
7306,550,Fläsch,70.0
7232,556,Furna,120.0
7414,557,Fürstenau,110.0
6537,558,Grono,90.0
7214,559,Grüsch,98.0
7130,565,Ilanz,100.0
7233,567,Jenaz,95.0
7307,568,Jenins,93.0
7250,569,Klosters,78.0
7240,570,Küblis,110.0
7522,621,La Punt Chamues‐ch,49.0
7031,571,Laax,40.0
7206,573,Landquart/Igis,95.0
7083,575,Lantsch/Lenz,75.0
6558,579,Lostallo,80.0
7144,610,Lumnezia/Camuns/Peiden/Surcasti/Tersnaus/U,90.0
7243,584,Luzein,85.0
7523,585,Madulain,85.0
7304,586,Maienfeld,68.0
7208,588,Malans,75.0
7425,591,Masein,120.0
7184,594,Medel/Lucmagn,70.0
6563,596,Mesocco,87.0
7433,747,Muntogna da Schons,100.0
7134,744,Obersaxen Mundaun,95.0
7504,615,Pontresina,75.0
7742,617,Poschiavo,90.0
7435,746,Rheinwald,100.0
7403,623,Rhäzüns,120.0
7430,628,Rongellen,30.0
6548,629,Rossa,77.0
7405,630,Rothenbrunnen,80.0
6535,631,Roveredo,105.0
7107,627,Safien/Tenna/Versam,105.0
7152,636,Sagogn,80.0
7503,638,Samedan,75.0
7562,639,Samnaun,100.0
6534,649,San Vittore,75.0
7412,654,Scharans,90.0
7220,656,Schiers,109.0
7151,659,Schluein,50.0
7493,660,Schmitten,100.0
7550,662,Scuol,100.0
7212,663,Seewis i. P.,105.0
7411,668,Sils i.D.,110.0
7500,669,Sils i.E.,70.0
7513,670,Silvaplana,55.0
6562,671,Soazza,60.0
7500,647,St. Moritz,55.0
6541,644,Sta. Maria i.C.,100.0
7434,678,Sufers,75.0
7175,673,Sumvitg,105.0
7453,743,Surses,90.0
7525,653,S‐chanf,65.0
7015,684,Tamins,100.0
7430,690,Thusis,115.0
7203,694,Trimmis,85.0
7014,695,Trin,95.0
7166,696,Trun,95.0
7428,697,Tschappina,100.0
7188,687,Tujetsch/Sedrun,95.0
7204,702,Untervaz,85.0
7427,704,Urmein,70.0
7537,601,Val Müstair,120.0
7132,707,Vals,95.0
7556,642,Valsot/Ramosch/Tschlin,95.0
7078,709,Vaz/Obervaz,70.0
7530,718,Zernez,84.0
7432,719,Zillis,70.0
7205,720,Zizers,80.0
7524,721,Zuoz,65.0
